"school_name","average_sat_math","perc_disadvan","size"
"Lowell High",491,44.3,"large"
"Ludlow Senior High",505,20.3,"large"
"Lunenburg High",525,14.1,"medium"
"Classical High",466,43.8,"large"
"Lynn English High",455,44.3,"large"
"Lynn Vocational Technical Institute",439,48.7,"large"
"Lynnfield High",547,7.8,"large"
"MATCH Charter Public School",504,56.4,"large"
"Ma Academy for Math and Science School",741,5.2,"small"
"Malden High",507,39.9,"large"
"Manchester Essex Regional High School",601,8,"medium"
"Mansfield High",566,9.1,"large"
"Marblehead High",564,8.8,"large"
"Marlborough High",523,28,"large"
"Marshfield High",520,10.2,"large"
"Martha's Vineyard Regional High",527,19.8,"large"
"Masconomet Regional High School",567,5.8,"large"
"Mashpee High",492,23.6,"medium"
"Maynard High",546,17.1,"medium"
"Medfield Senior High",587,3.8,"large"
"Medford High",521,24.8,"large"
"Medford Vocational Technical High",420,36.2,"small"
"Medway High",547,6.3,"large"
"Melrose High",534,11.8,"large"
"Nipmuc Regional High",544,10.3,"large"
"Methuen High",482,30.2,"large"
"Middleborough High",509,21,"large"
"Milford High",514,26.4,"large"
"Millbury Junior/Senior High",492,22.7,"large"
"Millis High School",503,9.7,"medium"
"Milton High",555,11.2,"large"
"Minuteman Regional High",470,26.1,"large"
"Mohawk Trail Regional High",546,34.6,"medium"
"Monomoy Regional High School",532,20.5,"large"
"Monson High School",500,17.1,"small"
"Montachusett Regional Vocational Technical",470,23,"large"
"Mt Greylock Regional High",585,17.6,"large"
"Mystic Valley Regional Charter School",562,17.2,"large"
"Nantucket High",490,17.3,"medium"
"Narragansett Regional High",510,20.2,"medium"
"Nashoba Regional",563,5,"large"
"Nashoba Valley Technical High School",469,19.5,"large"
"Natick High",565,10.3,"large"
"Nauset Regional High",530,17.9,"large"
"Needham High",584,5.5,"large"
"New Bedford High",449,58.9,"large"
"Newburyport High",563,10.5,"large"
"Newton North High",598,10.4,"large"
"Newton South High",620,8.8,"large"
"Norfolk County Agricultural",507,14,"medium"
"Drury High",477,53.3,"medium"
"North Andover High",530,10.8,"large"
"North Attleboro High",537,12.4,"large"
"North Brookfield High",466,34.3,"small"
"North Middlesex Regional",535,12.6,"large"
"North Reading High",554,5.9,"large"
"Northampton High",576,18.6,"large"
"Algonquin Regional High",566,5.5,"large"
"Northbridge High",490,24,"large"
"Northeast Metro Regional Vocational",444,30.8,"large"
"Charles McCann Vocational Technical",480,30.2,"medium"
"Norton High",513,13.6,"large"
"Norwell High",555,3.5,"large"
"Norwood High",523,20.4,"large"
"Old Colony Regional Vocational Technical",471,17.6,"large"
"Old Rochester Regional High",546,7.9,"large"
"Oxford High",525,34.8,"medium"
"Palmer High",504,30.7,"medium"
"Pathfinder Vocational Technical",432,36.6,"large"
"Peabody Veterans Memorial High",508,27.4,"large"
"Pembroke High School",522,10.7,"large"
"Pentucket Regional Sr High",532,8.7,"large"
"Pioneer Charter School of Science",555,38.1,"large"
"Pioneer Valley Regional",500,16.6,"medium"
"Pioneer Valley Performing Arts Charter Public School",517,21.4,"medium"
"Pittsfield High",497,38.4,"large"
"Taconic High",500,40.7,"large"
"Plymouth North High",492,23.6,"large"
"Plymouth South High",491,16.5,"large"
"Prospect Hill Academy Charter School",467,37.9,"large"
"IB School of Quabbin",548,23.1,"small"
"Quabbin Regional High School",521,19.7,"large"
"Quaboag Regional High",503,35.1,"medium"
"North Quincy High",518,33.1,"large"
"Quincy High",502,34.7,"large"
"Pathways Early College Innovation School",514,13.2,"small"
"Ralph C Mahar Regional",516,40.3,"large"
"Randolph High",460,42.7,"large"
"Reading Memorial High",557,5.9,"large"
"Revere High",460,38.4,"large"
"Rising Tide Charter Public School",529,8.9,"large"
"Rockland Senior High",501,27.3,"large"
"Rockport High",529,13.3,"small"
"Sabis International Charter School",486,36.7,"large"
"Salem High",487,45.4,"large"
"Salem Academy Charter School",495,31.9,"medium"
"Sandwich High",530,9.7,"large"
"Saugus High",500,25.7,"large"
"Scituate High School",551,10,"large"
"Seekonk High",532,14.6,"large"
"Sharon High",600,6.2,"large"
"Shawsheen Valley Vocational Technical High School",480,13.1,"large"
"Shrewsbury Sr High",579,8,"large"
"Silver Lake Regional High",539,14.9,"large"
"A North Central Charter Essential (District)",507,31.1,"medium"
"Somerset Berkley Regional High School",541,13.9,"large"
"Somerville High",486,39.6,"large"
"South Hadley High",533,19.3,"large"
"Joseph P Keefe Technical High School",428,38.1,"large"
"South Shore Charter Public School",489,14.5,"large"
"So Shore Vocational Technical High",464,25.6,"large"
"Southeastern Regional Vocational Technical",425,39.1,"large"
"Mt Everett Regional",501,29.5,"small"
"Bay Path Regional Vocational Technical High School",470,26.8,"large"
"Southwick Regional School",522,16.8,"large"
"David Prouty High",518,32.8,"small"
"High School Of Commerce",356,73.8,"large"
"Roger L. Putnam Vocational Technical Academy",371,65.8,"large"
"Springfield Central High",410,62.4,"large"
"Springfield High School of Science and Technology",336,73.9,"large"
"The Springfield Renaissance School an Expeditionary Learning School",433,47.8,"large"
"Stoneham High",490,12.8,"large"
"Stoughton High",518,22,"large"
"Sturgis Charter Public School",562,13.6,"large"
"Sutton High School",521,7,"medium"
"Swampscott High",535,13.1,"large"
"Joseph Case High",539,21.6,"medium"
"Tantasqua Regional Sr High",575,12.9,"large"
"Tantasqua Regional Vocational",519,23.3,"medium"
"Taunton High",502,37.1,"large"
"Tewksbury Memorial High",512,12.3,"large"
"Tri-County Regional Vocational Technical",494,20.8,"large"
"Triton Regional High School",550,14.2,"large"
"Tyngsborough High School",517,9.1,"medium"
"Upper Cape Cod Vocational Technical",483,25.8,"large"
"Uxbridge High",523,17.2,"medium"
"Wachusett Regional High",554,8.6,"large"
"Wakefield Memorial High",537,12.7,"large"
"Walpole High",538,8.3,"large"
"Waltham Sr High",500,26,"large"
"Ware Junior/Senior High School",487,40.6,"medium"
"Wareham Senior High",483,42.9,"medium"
"Watertown High",534,23.6,"large"
"Wayland High School",619,3.6,"large"
"Bartlett High School",491,40.9,"medium"
"Wellesley Sr High",614,6.5,"large"
"West Boylston Junior/Senior High",525,17,"medium"
"West Bridgewater Junior/Senior",508,14.1,"large"
"West Springfield High",508,38.5,"large"
"Westborough High",608,7.6,"large"
"Westfield High",526,26.6,"large"
"Westfield Technical Academy",458,34.4,"medium"
"Westford Academy",612,3.6,"large"
"Weston High",627,5.8,"large"
"Westwood High",578,4.1,"large"
"Weymouth High School",510,24.7,"large"
"Whitman Hanson Regional",518,17.5,"large"
"Whittier Regional Vocational",468,29.1,"large"
"Wilmington High",527,8.1,"large"
"Murdock High School",463,37,"small"
"Winchester High School",617,5.6,"large"
"Winthrop High School",494,26.6,"large"
"Woburn High",516,22,"large"
"Burncoat Senior High",457,54.7,"large"
"Claremont Academy",371,65,"medium"
"Doherty Memorial High",484,43.9,"large"
"North High",409,63.6,"large"
"South High Community",473,58.6,"large"
"University Pk Campus School",471,57.1,"small"
"Worcester Technical High",437,43.8,"large"
"Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School",515,47.8,"large"
"Paulo Freire Social Justice Charter School",410,69.5,"small"
"TEC Connections Academy Commonwealth Virtual School",472,36.1,"large"
