quality,fix.acid,vol.acid,citric.acid,lresid.sugar,lchlorides,lfree.so2,ltotal.so2,density,pH,sulphates,alcohol,color
5.9,7.5,0.52,0.42,0.8329091229,-2.4418471603,2.0794415417,3.6375861597,0.9972,3.58,0.61,10.5,red
5.1,7.4,0.22,0.33,0.6931471806,-3.1010927892,3.4339872045,4.6151205168,0.9931,3.42,0.55,11.4,white
4.5,6.6,0.42,0.13,2.5494451709,-3.1235656451,3.258096538,5.062595033,0.99772,3.24,0.47,9,white
6,5.9,0.26,0.29,1.6863989536,-3.0791138825,3.5263605246,4.7535901911,0.99224,3.24,0.41,11.4,white
5.3,9.9,0.59,0.07,1.2237754316,-2.2827824657,3.4657359028,4.262679877,1.00015,3.31,0.71,9.8,red
5.2,9.9,0.49,0.58,1.2527629685,-2.3644604967,2.1972245773,3.7612001157,1.0004,3.29,0.58,9,red
6,7.5,0.24,0.31,2.5726122302,-2.9957322736,3.258096538,5.1929568509,0.99884,3.05,0.53,9.1,white
4.9,7.3,0.51,0.26,1.1939224685,-2.4079456087,1.9459101491,4.9052747784,0.9944,3.01,0.52,8.8,white
6,6.6,0.39,0.38,2.2721258855,-2.9374633654,3.8918202981,5.4205349993,0.99787,3.3,0.57,9.4,white
4.9,7.5,0.26,0.52,2.5802168296,-3.0576076773,4.1588830834,5.1873858058,0.9982,3.1,0.46,9,white
6.1,7,0.33,0.32,0.1823215568,-2.9374633654,3.6375861597,4.9272536852,0.9906,3.13,0.28,11.2,white
3.7,6.5,0.58,0,0.7884573604,-2.3434070875,1.0986122887,2.5649493575,0.99557,3.62,0.62,11.5,red
6,6.5,0.26,0.27,2.5572273114,-3.1235656451,4.2341065046,5.3706380281,0.9967,3.17,0.43,10,white
6.1,6.9,0.115,0.35,1.6863989536,-3.0365542681,3.5835189385,4.6821312271,0.9939,3.32,0.42,10.2,white
6.9,6.8,0.31,0.3,2.0794415417,-3.5755507688,3.4965075615,4.8040210447,0.99164,3.13,0.63,12.6,white
4.5,7.4,0.5,0.47,0.6931471806,-2.4534079827,3.0445224377,4.2904594411,0.997,3.36,0.57,9.1,red
6.3,6.7,0.23,0.39,0.9162907319,-1.7602608022,4.1431347264,5.062595033,0.9937,3.11,0.36,9.4,white
5.8,6.5,0.25,0.27,2.8564702062,-2.7488721956,3.36729583,4.9416424226,0.99776,3.2,0.49,10.1,white
6.1,7.4,0.19,0.31,2.6741486494,-3.1010927892,3.6635616461,5.2626901889,0.9986,3.1,0.5,9.2,white
5.3,7.5,0.21,0.68,2.3887627892,-3.1010927892,3.6375861597,4.8903491282,0.9978,3,0.36,8.7,white
5.5,6.8,0.26,0.48,1.8245492921,-3.0159349809,4.0073331852,5.2040066871,0.99582,3.21,0.45,9.4,white
5.2,10,0.29,0.4,1.064710737,-2.3227878003,2.302585093,3.258096538,1.0006,3.48,0.91,9.7,red
6.1,7.2,0.24,0.29,1.0986122887,-3.3242363405,2.8332133441,4.7621739348,0.99411,3.36,0.68,10.1,white
6.5,6.8,0.45,0.36,1.6094379124,-3.4112477175,3.3322045102,5.0498560072,0.991,3.11,0.4,12.4,white
7.5,6.7,0.21,0.37,0.9162907319,-3.3813947544,3.5553480615,4.4886363697,0.9913,3.25,0.5,11,white
6,7.4,0.18,0.34,0.993251773,-3.5065578973,3.4011973817,4.6728288345,0.992,2.97,0.53,11,white
6,6.5,0.63,0.33,0.5877866649,-2.8302178351,2.7725887222,3.3322045102,0.99531,3.36,0.64,10.1,red
3.7,6.9,0.32,0.16,0.3364722366,-2.9759296463,2.7080502011,4.5643481915,0.994,3.22,0.38,9.5,white
4.8,6.4,0.33,0.24,0.4700036292,-2.9187712324,3.2188758249,4.7621739348,0.9943,3.36,0.5,9.3,white
4.5,8.2,0.43,0.29,0.4700036292,-2.5133061243,3.295836866,3.8066624898,0.99603,3.25,0.54,10.3,red
6,6.3,0.22,0.33,0.5306282511,-3.1941832123,4.2046926194,5.0998664278,0.9928,3.32,0.56,10.4,white
6.7,6.9,0.22,0.32,2.2300144002,-3.2188758249,3.0910424534,4.7004803658,0.9958,3.34,0.54,10.7,white
6.3,7.7,0.16,0.49,0.6931471806,-2.8824035882,2.9957322736,4.8202815656,0.9948,3.32,0.49,10.7,white
4.9,6.7,0.27,0.31,2.7536607124,-3.3242363405,3.7841896339,5.1873858058,0.9979,3.26,0.56,9.6,white
7.4,6.8,0.18,0.3,2.5494451709,-2.7806208939,2.9444389792,5.1416635565,0.99808,3,0.52,9,white
6.5,6.9,0.14,0.29,2.2925347571,-2.8824035882,3.4011973817,4.5108595065,0.99512,3.19,0.33,9.9,white
5.7,6.3,0.23,0.3,0.5877866649,-3.4112477175,2.7725887222,4.5108595065,0.9906,3.28,0.4,11.8,white
6.1,6.9,0.44,0.27,1.6094379124,-3.2701691193,3.4965075615,5.1119877884,0.99124,3.2,0.42,12.2,white
7.5,5.4,0.33,0.31,1.3862943611,-3.5065578973,3.295836866,4.6821312271,0.99031,3.3,0.43,12.2,white
5.8,6.4,0.26,0.3,0.7884573604,-3.6888794541,3.4965075615,4.8978398,0.992,3.21,0.47,10.6,white
6.7,5.9,0.28,0.39,0.3364722366,-3.4737680745,3.8501476017,4.9904325868,0.98836,3.08,0.64,12.9,white
6.1,7.9,0.29,0.49,0.7884573604,-2.3434070875,3.0445224377,4.0775374439,0.99714,3.31,0.67,10.1,red
4.8,6.9,0.63,0.02,0.6418538862,-2.5510464523,2.8903717579,3.4011973817,0.99712,3.4,0.75,9.8,red
5.9,7.2,0.19,0.31,0.4700036292,-2.7806208939,3.4339872045,5.1532915945,0.9917,3.35,0.44,11.7,white
6.7,7,0.24,0.35,0.4054651081,-2.9565115604,3.9318256327,4.8520302639,0.9941,3.41,0.59,10.4,white
7.3,5.1,0.33,0.27,1.9021075264,-3.8167128256,3.7841896339,4.8598124044,0.99221,3.36,0.39,11,white
4.7,8.4,0.56,0.04,0.6931471806,-2.5010360317,2.302585093,3.0910424534,0.9976,3.22,0.44,9.6,red
6.5,8,0.2,0.36,0.1823215568,-3.4420193762,3.0445224377,4.3567088267,0.9921,3.08,0.37,10.4,white
4.6,8.3,0.22,0.38,2.6946271808,-2.9187712324,3.4657359028,4.836281907,1.0002,3.22,0.5,9.7,white
5,7.3,0.59,0.26,1.974081026,-2.6592600369,3.5553480615,4.7957905456,0.9981,3.37,0.49,9.4,red
6.3,8,0.33,0.53,0.9162907319,-2.3968957725,2.8903717579,4.3820266347,0.9976,3.37,0.8,9.6,red
7.5,8.2,0.42,0.29,1.4109869737,-3.5065578973,3.4339872045,4.605170186,0.9911,3,0.32,12.8,white
5.6,6.9,0.25,0.35,0.2623642645,-3.2441936329,3.36729583,5.252273428,0.9908,3.13,0.52,11,white
5.7,7.6,0.17,0.27,1.5260563035,-2.9957322736,3.1354942159,4.5849674787,0.99422,3.08,0.47,9.5,white
4.9,7.2,0.62,0.06,0.993251773,-2.5639498571,2.7080502011,4.4426512565,0.99746,3.51,0.54,9.5,red
4.5,9,0.66,0.17,1.0986122887,-2.5639498571,1.6094379124,2.5649493575,0.9976,3.29,0.55,10.4,red
6.3,6.2,0.19,0.38,1.6292405397,-3.9633162998,3.0910424534,4.4067192473,0.98961,3.05,0.36,12.5,white
5.5,6.9,0.35,0.55,2.4807312784,-3.2701691193,3.0910424534,4.7095302013,0.99687,3.11,0.29,9.7,white
4.5,6.2,0.27,0.47,0.1823215568,-1.9241486573,3.3322045102,4.6539603502,0.99224,3.23,0.51,10.1,white
6.5,8,0.27,0.25,2.9496883351,-3.1010927892,3.9120230054,5.3375380797,1.00051,3.05,0.5,9.2,white
7,8.4,0.37,0.43,0.8329091229,-2.7646205526,2.4849066498,2.9444389792,0.9955,3.17,0.81,11.2,red
7.1,6.5,0.16,0.34,0.3364722366,-3.540459449,3.36729583,4.8903491282,0.99108,3.33,0.64,11.5,white
6.4,6.2,0.37,0.22,2.1162555148,-3.6888794541,3.5835189385,5.3752784077,0.9964,3.33,0.6,9.6,white
7.3,6.7,0.3,0.29,1.0296194172,-3.6888794541,3.6109179126,4.6728288345,0.99159,3.31,0.63,11.3,white
4.9,6.8,0.17,0.32,0.3364722366,-3.2188758249,3.5553480615,4.6634390941,0.99026,3.16,0.66,12,white
8.5,6.5,0.18,0.34,0.4700036292,-3.2188758249,3.7612001157,4.9972122738,0.9912,3.32,0.59,11.5,white
6,5.4,0.15,0.32,0.9162907319,-3.2968373663,2.302585093,3.9318256327,0.98878,3.04,0.58,12.6,white
6,6.8,0.32,0.23,1.1939224685,-3.649658741,3.4339872045,4.5951198501,0.9896,3.1,0.4,12.4,white
6.4,7.7,0.34,0.27,2.1747517215,-2.7646205526,3.6635616461,5.2149357576,0.9969,3.09,0.63,9.2,white
6.2,7.2,0.22,0.49,0,-3.1010927892,3.5263605246,4.9416424226,0.99,3.05,0.34,12.7,white
4.3,6.8,0.67,0.3,2.5649493575,-1.237874356,3.0910424534,5.2626901889,0.9984,3.08,0.67,9,white
7.4,8.3,0.26,0.41,2.2192034841,-3.1700856607,3.7135720667,5.0875963352,0.9944,3.1,0.38,12,white
4.5,6.6,0.28,0.41,1.9459101491,-3.0791138825,4.0775374439,5.2678581591,0.99558,3.14,0.48,9.4,white
6.9,6,0.29,0.41,2.3795461341,-3.0365542681,4.0073331852,5.0039463059,0.9937,3.09,0.59,10.96666667,white
7,6.4,0.29,0.3,1.064710737,-3.3242363405,3.2188758249,4.3694478525,0.99037,3.29,0.6,12.4,white
7.2,6.7,0.21,0.36,2.1459312829,-3.9120230054,2.9957322736,4.4543472963,0.99146,3.19,0.22,13.4,white
6,5.6,0.32,0.33,2.0014800002,-3.2968373663,3.2188758249,4.5538768916,0.99268,3.25,0.49,11.1,white
5.2,7.4,0.21,0.8,2.5095992624,-3.2701691193,4.3438054219,5.2094861528,0.99778,2.95,0.48,9,white
6.9,7.2,0.23,0.39,2.6532419646,-2.8473122684,3.8918202981,5.257495372,0.9979,2.98,0.48,9,white
7.6,6.1,0.31,0.58,1.6094379124,-3.2441936329,3.5835189385,4.7361984484,0.9909,3.3,0.6,12.3,white
4.9,7.5,0.65,0.18,1.9459101491,-2.4304184645,3.295836866,4.5432947823,0.99915,3.38,0.77,9.4,red
6.1,6.6,0.4,0.3,1.6677068206,-3.2701691193,2.9957322736,4.8283137373,0.99204,3.36,0.73,12.6,white
5.8,6.2,0.22,0.2,3.0349529867,-3.3524072175,4.0604430105,5.2149357576,1.00022,3.11,0.53,9,white
5.3,7.2,0.6,0.2,2.2925347571,-2.6592600369,3.0445224377,5.1590552992,0.9971,3.03,0.54,9.1,white
5.8,9.1,0.28,0.46,2.1972245773,-2.1715568306,1.0986122887,2.1972245773,0.99901,3.18,0.6,10.9,red
6.3,6.3,0.23,0.33,0.4054651081,-3.3242363405,2.7080502011,4.6539603502,0.991,3.32,0.42,11.2,white
7,6.9,0.21,0.33,0.5877866649,-3.3813947544,3.8712010109,4.9126548857,0.9899,3.25,0.41,12.6,white
6.4,6.8,0.33,0.3,0.7419373447,-3.0576076773,3.5553480615,4.9904325868,0.9886,3.24,0.56,13.4,white
7.9,6.5,0.35,0.36,-0.2231435513,-3.3813947544,3.4657359028,4.7095302013,0.98942,3.11,0.5,12.1,white
4,7.6,0.56,0.12,2.3418058061,-2.3434070875,3.0910424534,5.1761497326,0.9983,3.32,0.45,9.1,white
6.5,7.2,0.29,0.4,2.0281482473,-3.7297014486,4.0253516907,5.1761497326,0.9928,3.04,0.32,11.5,white
4.9,8.8,0.6,0.29,0.7884573604,-2.3227878003,1.6094379124,2.7080502011,0.9988,3.36,0.49,9.1,red
4.7,5.9,0.3,0.29,0.0953101798,-3.3242363405,3.1354942159,4.0253516907,0.9904,3.19,0.38,11.3,white
6.5,6.4,0.24,0.49,1.7578579176,-2.9374633654,3.2188758249,4.7874917428,0.9942,3.01,0.98,10.5,white
4.9,12.4,0.42,0.49,1.5260563035,-2.6172958378,2.9444389792,3.7612001157,0.9978,3.02,0.61,9.5,red
6.3,7.3,0.28,0.54,2.5572273114,-3.0159349809,4.127134385,5.0906780018,0.9984,3.06,0.45,9.1,white
4.5,7.8,0.53,0.01,0.4700036292,-2.5639498571,1.0986122887,2.9444389792,0.995,3.16,0.46,9.8,red
6.3,6.5,0.2,0.5,2.8959119383,-2.9187712324,3.9120230054,5.3981627015,0.99941,2.94,0.64,8.8,white
4,8.3,0.845,0.01,0.7884573604,-2.6592600369,1.6094379124,2.6390573296,0.9967,3.32,0.58,11,red
6,5,0.27,0.4,0.1823215568,-2.5770219387,3.7376696183,4.8202815656,0.99204,3.32,0.47,10.1,white
5.8,6,0.3,0.33,0.7419373447,-3.1700856607,3.4339872045,4.8441870865,0.98964,3.32,0.42,12.5,white
5.7,5.9,0.25,0.24,2.0014800002,-3.1235656451,3.0445224377,4.7273878187,0.99462,3.38,0.58,10.5,white
6,11.2,0.67,0.55,0.8329091229,-2.4769384801,1.7917594692,2.5649493575,1,3.17,0.71,9.5,red
6.2,5.9,0.14,0.25,1.5040773968,-3.611918413,3.5263605246,4.9416424226,0.9934,3.49,0.51,10.8,white
4.8,5.9,0.17,0.28,-0.3566749439,-3.611918413,1.6094379124,3.3322045102,0.98985,3.13,0.32,10.6,white
5.8,8.5,0.15,0.49,0.4054651081,-3.4737680745,2.8332133441,4.8040210447,0.9932,3.03,0.4,10.3,white
4.7,6.7,0.64,0.23,0.7419373447,-2.5257286443,2.3978952728,4.7791234931,0.99538,3.36,0.7,10.9,red
5.8,6.1,0.41,0.04,0.2623642645,-3.3242363405,3.1354942159,4.7957905456,0.99228,3.24,0.61,9.9,white
6.8,8.2,0.33,0.39,0.9162907319,-2.6036901858,3.36729583,3.8712010109,0.99528,3.32,0.88,12.4,red
5.6,6.5,0.46,0.24,2.4423470354,-2.9759296463,4.0253516907,5.1416635565,0.99588,3.08,0.56,9.8,white
5.3,6.9,0.34,0.74,2.4159137783,-2.6736487744,3.7841896339,5.0106352941,0.9968,3,0.81,9.2,white
5.4,6.1,0.23,0.45,2.3608540011,-2.3644604967,3.8918202981,5.1298987149,0.99699,3.05,0.54,8.8,white
5.4,6.8,0.24,0.31,2.9069010598,-3.0791138825,3.6888794541,4.9558270576,1,3.3,0.41,8.7,white
4.6,6.7,0.26,0.26,1.3862943611,-2.5383074265,3.5695326965,5.3752784077,0.9956,3.31,0.68,9.5,white
5,9.2,0.92,0.24,0.955511445,-2.4418471603,2.4849066498,4.5325994932,0.9998,3.48,0.54,9.8,red
5.2,7.3,0.45,0.36,1.7749523509,-2.6036901858,2.4849066498,4.4659081187,0.9978,3.33,0.83,10.5,red
5.9,10.2,0.29,0.65,0.8754687374,-2.5902671654,1.7917594692,2.8332133441,0.99565,3.22,0.63,11.8,red
6.2,5.9,0.28,0.14,2.1517622033,-3.4420193762,3.4011973817,4.9558270576,0.99542,3.28,0.44,9.5,white
5,7.5,0.61,0.26,0.6418538862,-2.6172958378,3.1780538303,4.4773368145,0.99612,3.3,0.53,9.8,red
6.4,8.2,0.23,0.4,2.0149030205,-3.0159349809,2.4849066498,4.3307333403,0.9966,3.06,0.84,9.7,white
7.4,6.6,0.35,0.26,0.993251773,-3.1010927892,2.9444389792,4.8598124044,0.98952,3.24,0.48,13,white
5.5,7.3,0.24,0.41,2.6100697927,-2.9957322736,3.7135720667,5.1817835503,0.9988,3.37,0.43,9.7,white
6.1,6.6,0.26,0.38,1.8718021769,-1.7719568419,4.2195077052,5.3033049081,0.9956,3.19,0.38,9.4,white
4,7.1,0.21,0.28,0.993251773,-3.3813947544,3.1354942159,4.7095302013,0.99405,3.35,0.64,10.2,white
5.7,6.4,0.27,0.49,1.9878743482,-3.0791138825,3.9702919136,5.3278761688,0.9956,3.24,0.43,9.2,white
6.8,7.1,0.35,0.27,1.1314021115,-3.3813947544,3.3322045102,4.8978398,0.9897,3.26,0.38,13.1,white
6.1,6.8,0.26,0.29,2.4765384001,-2.9565115604,3.9889840466,5.0751738152,0.99546,3.03,0.58,10.4,white
5.5,7,0.39,0.21,2.3702437415,-2.3227878003,2.5649493575,4.5108595065,0.99657,3.03,0.47,9.3,white
3.7,6.5,0.38,0.53,0.3364722366,-1.9519282214,1.6094379124,4.2341065046,0.9926,3.14,0.52,10.1,white
3.6,7.9,0.16,0.3,1.5686159179,-3.2968373663,3.6109179126,5.1416635565,0.9967,3.47,0.44,9,white
6.3,7,0.16,0.3,0.955511445,-3.1465551633,3.5263605246,4.4998096703,0.99047,2.88,0.47,11.2,white
5.7,6,0.23,0.34,0.2623642645,-3.6888794541,3.1354942159,4.7095302013,0.98961,3.36,0.37,12.7,white
5.9,9.2,0.43,0.52,0.8329091229,-2.4889146712,2.6390573296,3.1354942159,0.9976,3.35,0.61,11.3,red
5.3,6,0.36,0.16,1.8405496334,-3.3242363405,3.5835189385,5.252273428,0.9942,3.17,0.62,9.8,white
6.2,7.7,0.61,0.18,0.8754687374,-2.4889146712,1.7917594692,2.9957322736,0.9963,3.29,0.6,10.2,red
6.9,6.4,0.22,0.38,2.2082744135,-3.1235656451,3.5553480615,4.8441870865,0.99326,2.97,0.3,11,white
6.5,6.7,0.24,0.3,2.3223877203,-2.6592600369,3.7841896339,5.1873858058,0.99666,2.86,0.46,8.9,white
6.1,9.1,0.37,0.32,0.7419373447,-2.7488721956,1.3862943611,2.7080502011,0.99576,3.3,0.8,11.2,red
7.3,5.6,0.49,0.13,1.5040773968,-3.2441936329,2.8332133441,4.7535901911,0.9907,3.42,0.9,13.7,white
6.1,7,0.21,0.22,1.6292405397,-3.0365542681,3.6375861597,5.1239639794,0.9945,3.34,0.49,10.4,white
7.1,6.6,0.36,0.28,1.8082887712,-3.540459449,2.4849066498,4.5325994932,0.99054,3.19,0.27,12.8,white
5.1,7.2,0.31,0.24,0.3364722366,-2.8647040111,2.8332133441,4.7621739348,0.9928,3.16,0.35,10.5,white
6.4,6.8,0.25,0.38,2.0918640617,-3.0791138825,3.1780538303,5.0434251169,0.9956,3.33,0.59,10.2,white
7,7.1,0.21,0.37,0.8754687374,-3.649658741,3.1354942159,4.605170186,0.9903,3.15,0.38,11.4,white
6.1,7.2,0.23,0.32,2.1400661635,-2.8473122684,3.8501476017,5.2257466737,0.9956,3.19,0.4,9.9,white
5.7,6.9,0.54,0.3,0.7884573604,-2.4304184645,2.1972245773,4.6539603502,0.99725,3.25,1.18,10.5,red
3.8,6.1,0.38,0.14,1.3609765531,-2.8134107168,3.295836866,4.7273878187,0.99344,3.07,0.34,9.2,white
6.1,7.5,0.42,0.45,2.2082744135,-3.540459449,2.9957322736,4.8283137373,0.996,3.12,0.36,10.1,white
4.7,5.7,0.26,0.24,2.8791984573,-2.8302178351,3.1354942159,4.8202815656,0.99773,3.3,0.5,10.1,white
5.3,6.9,0.42,0.2,2.7343675094,-3.1465551633,4.0430512678,5.3033049081,0.99848,3.08,0.54,9.4,white
4.7,7.7,0.835,0,0.955511445,-2.5133061243,1.7917594692,2.6390573296,0.9975,3.3,0.52,9.3,red
4.9,7.8,0.43,0.7,0.6418538862,-0.7678707268,3.0910424534,4.2046926194,0.9974,3.13,1.28,9.4,red
4.4,4.8,0.65,0.12,0.0953101798,-4.3428059215,1.3862943611,2.302585093,0.99246,3.32,0.36,13.5,white
7.4,9.1,0.21,0.37,0.4700036292,-2.7030626596,1.7917594692,2.302585093,0.99552,3.23,0.58,11.1,red
6,6.5,0.31,0.61,2.5649493575,-2.9374633654,3.4339872045,4.8121843554,0.99708,3.09,0.5,9.3,white
6.3,8.3,0.2,0.74,1.4929040962,-3.1235656451,3.4965075615,4.8675344505,0.9924,3.25,0.42,12.2,white
5.9,6.8,0.28,0.6,0.0953101798,-2.0249533564,3.7376696183,4.8441870865,0.9934,3.09,0.44,9.1,white
5.5,7.2,0.38,0.3,0.5877866649,-2.6172958378,3.4339872045,4.248495242,0.99685,3.42,0.59,9.5,red
5.9,8.3,0.26,0.31,0.6931471806,-3.540459449,2.6390573296,4.9487598904,0.99077,2.95,0.77,12.2,white
6.3,6.7,0.23,0.26,0.3364722366,-2.8134107168,3.4965075615,5.0369526024,0.9934,3.24,0.56,9.5,white
6.9,7.1,0.13,0.29,2.7408400239,-2.7488721956,4.0253516907,4.74927053,0.99737,3.16,0.41,9.7,white
4.6,9.4,0.28,0.3,0.4700036292,-3.1010927892,3.5835189385,4.9344739331,0.99534,3.11,0.49,9.3,white
4.5,10.2,0.44,0.88,1.8245492921,-3.0159349809,2.9957322736,4.8202815656,0.9968,2.99,0.51,9.9,white
5.5,8,0.22,0.31,1.7227665977,-3.0159349809,3.1780538303,4.5747109785,0.993,3.1,0.42,10.9,white
8.4,7,0.12,0.29,2.3321438952,-3.2441936329,3.7135720667,4.5849674787,0.99564,3.19,0.38,9.8,white
6.5,7.5,0.32,0.49,0.5306282511,-3.4737680745,3.7841896339,4.6913478822,0.9906,3.07,0.46,12.5,white
4.9,7.6,0.39,0.22,1.0296194172,-3.3242363405,2.9444389792,4.7273878187,0.9926,3.03,0.29,10.2,white
5.6,7.7,0.715,0.01,0.7419373447,-2.7488721956,3.4339872045,3.7612001157,0.99371,3.41,0.57,11.8,red
8.3,7,0.12,0.29,2.3321438952,-3.2441936329,3.7135720667,4.5849674787,0.99564,3.19,0.38,9.8,white
5.9,7.8,0.42,0.26,2.2192034841,-2.8473122684,3.5263605246,5.2933048247,0.9972,3.14,0.55,9.3,white
6.6,5.9,0.32,0.28,1.5475625087,-3.2441936329,3.5263605246,4.5432947823,0.98964,3.22,0.57,13.1,white
4.6,6.1,0.64,0.02,0.8754687374,-2.6736487744,3.258096538,3.8286413965,0.99358,3.47,0.45,11,red
4.5,6.3,0.29,0.3,2.0918640617,-1.5511690043,4.0943445622,5.0106352941,0.9958,3.1,0.4,9.3,white
6.5,6.8,0.63,0.07,0.7419373447,-2.4191189093,2.3978952728,3.7841896339,0.9953,3.47,0.55,10.4,red
4.6,7.1,0.72,0,0.5877866649,-2.0955709236,1.7917594692,2.6390573296,0.99627,3.45,0.58,9.8,red
4.9,7.1,0.32,0.24,2.5726122302,-2.9957322736,3.9512437186,5.3181199938,0.998,3.1,0.49,8.8,white
5.9,10.7,0.4,0.48,0.7419373447,-2.0794415417,2.7080502011,3.8918202981,0.998,3.03,0.81,9.7,red
5.4,7.1,0.39,0.35,2.5257286443,-3.1235656451,3.258096538,4.276666119,0.9941,3.17,0.29,11.6,white
5.7,9.2,0.27,0.34,2.3513752572,-3.1465551633,3.8918202981,5.429345629,0.9974,3.04,0.41,10.4,white
8.1,5.4,0.45,0.27,1.8562979904,-3.4112477175,2.9957322736,4.6249728133,0.98944,3.22,0.27,13.4,white
4.7,7.9,0.18,0.4,0.5877866649,-2.7806208939,1.9459101491,2.9957322736,0.9941,3.28,0.7,11.1,red
7,12.8,0.3,0.74,0.955511445,-2.3538783874,2.1972245773,3.3322045102,0.9994,3.2,0.77,10.8,red
5.6,6.7,0.48,0.49,1.064710737,-3.5065578973,3.3322045102,4.8040210447,0.98926,3.13,0.4,13,white
4.7,11.6,0.41,0.58,1.0296194172,-2.3434070875,3.2188758249,4.6151205168,1.00024,3.13,0.53,10,red
6.6,6.2,0.39,0.24,1.5686159179,-3.2968373663,3.8066624898,4.9272536852,0.99174,3.23,0.43,11.2,white
7.1,8.7,0.23,0.32,2.595254707,-3.1235656451,3.5553480615,5.1298987149,0.99975,3.12,0.47,8.8,white
5.1,6.6,0.27,0.33,0.3364722366,-3.1700856607,3.1780538303,5.2094861528,0.99215,3.29,0.46,10.7,white
6.3,7,0.23,0.26,1.974081026,-3.1941832123,3.0445224377,4.4998096703,0.99509,3.22,0.55,9.5,white
7.4,7.4,0.18,0.31,0.3364722366,-2.8473122684,3.6375861597,5.1179938124,0.9931,3.16,0.53,10,white
2.9,6.7,0.76,0.02,0.5877866649,-2.5510464523,1.7917594692,2.4849066498,0.996,3.55,0.63,9.95,red
5.7,7.8,0.53,0.04,0.5306282511,-2.5770219387,2.8332133441,3.4339872045,0.9964,3.33,0.56,10,red
6.2,6.8,0.37,0.67,0.4054651081,-1.7429693051,2.7725887222,4.5849674787,0.99244,3.06,0.56,10.3,white
5,7.2,0.56,0.26,0.6931471806,-2.4889146712,2.5649493575,4.605170186,0.99586,3.26,0.52,9.9,red
6.1,6.6,0.5,0.01,0.4054651081,-2.8134107168,2.8332133441,3.258096538,0.9952,3.4,0.58,9.8,red
3.6,5.3,0.43,0.11,0.0953101798,-3.540459449,1.7917594692,3.9318256327,0.99076,3.51,0.48,11.2,white
4.1,8.3,0.27,0.45,0.2623642645,-3.0365542681,2.0794415417,4.276666119,0.9944,3.08,0.61,10.3,white
6.6,6.7,0.41,0.24,1.6863989536,-3.3524072175,3.4965075615,4.7449321284,0.9901,3.12,0.44,12.89333333,white
6.1,7.6,0.29,0.58,2.8622008809,-3.1941832123,3.9318256327,5.4161004022,0.9997,3.16,0.66,9.5,white
5.5,12.3,0.27,0.49,1.1314021115,-2.5383074265,3.3322045102,3.8286413965,0.9993,3.2,0.8,10.2,red
4.3,9.9,1.005,0.46,0.3364722366,-3.0791138825,3.5263605246,5.2203558251,0.9966,3.02,0.49,10.2,white
